Garuda Indonesia;22 x 14 x 9;15.4
Georgian Airways;45.2 linear;17.6
GOL Airlines;21 x 13 x 9;22
Gulf Air;17 x 15 x 12;13.2
Hainan Airlines;21.6 x 15.7 x 7.8;11
Hawaiian Airlines;22 x 14 x 9;25
Helvetic Airways;21.5 x 15.5 x 8;11
HK Express;22 x 14 x 9;15.4
Hong Kong Airlines;22 x 14 x 9;15
Iberia;21.5 x 17.7 x 9.8
Icelandair;21.6 x 15.7 x 7.8;22
IndiGo Airlines;21.6 x 13.7 x 9.8;15.4
Interjet;21 x 15 x 9;22
Japan Airlines;22 x 16 x 10;22
Jet Time;21.5 x 15.5 x 8;11
Jet2.com;22 x 17.7 x 9.8;22
JetBlue Airways;22 x 14 x 9
Jetstar;22 x 14 x 9;15.4
Kenya Airways;21.5 x 13.7 x 9.8;26.4
KLM Royal Dutch Airlines;21.5 x 13.5 x 10;26
Korean Air;21.5 x 15.7 x 7.8;25
Kulula.com;22 x 14 x 9;15.4
Kuwait Airways;22 x 14 x 9;15.4
Lao Airlines;24 x 12 x 7;15.4
LATAM Airlines;21 x 14 x 9;17
LIAT Airlines;21 x 14 x 8;15
Loganair;15.7 x 13.7 x 7;13
LOT Polish Airlines;21.5 x 15.5 x 9;17.6
Lufthansa;21.5 x 15.7 x 9;17.6
Luxair;21.6 x 15.7 x 9;17.6
Malaysia Airlines;22 x 14 x 9;15
Mango Airlines;22 x 14 x 9;15.4
MIAT Mongolian Airlines;21.6 x 15.7 x 7.8;11
Montenegro Airlines;21.5 x 15.7 x 7.8;17.6
NokAir;22 x 14 x 9;15.4
Norwegian;21.5 x 15.9 x 9;22
Olympic Air;21.5 x 15.5 x 9;17.6
Oman Air;45 linear;15.4
Peach;19.6 x 15.7 x 9.8;15.4
Pegasus Airlines;21.5 x 15.5 x 8;17.6
Philippines Airlines;22 x 14 x 9;15
Porter Airlines;17 x 13 x 6;20
Qantas;22 x 14 x 9;15
Qatar Airways;20 x 15 x 10;15
Ravn Alaska;18 x 14 x 10;20
REX Regional Express Airlines;19 x 13 x 9;15.4
Royal Air Maroc;45 linear;22
Royal Brunei Airlines;22 x 15 x 8;15
Royal Jordanian Airlines;20 x 16 x 9;15.4
Ryanair;15.7 x 9.8 x 7.8
S7 Airlines;21.6 x 15.7 x 9;22
SAS Scandinavian Airlines;21.6 x 15.7 x 9;17.6
Saudia Airlines;45 linear;15.4
Scoot Airlines;21.2 x 14.9 x 9;22
Singapore Airlines;45.2 linear;15.4
SmartWings;22 x 17.7 x 9.8;17.6
South African Airways;22 x 14 x 9;17.6
Southwest Airlines;24 x 16 x 10
SpiceJet;21.6 x 13.7 x 9.8;15.4
Spirit Airlines;18 x 14 x 8
Spring Airlines;15.7 x 11.8 x 7.8;11
Sri Lankan Airlines;22 x 14 x 9;15.4
Sun Country Airlines;17 x 13 x 9
SunExpress;21.5 x 15.5 x 8;16
Sunwing Airlines;20 x 16 x 9;11
Swiss International Air Lines;21.5 x 15.5 x 9;17.6
TAP Portugal;22 x 16 x 8;17
TAROM;21.6 x 15.7 x 7.8;22
Thai Airways;22 x 18 x 10;15
Thai Lion Air;15.7 x 11.8 x 7.8;15.4
TigerAir Australia;21.2 x 14.9 x 9;15.4
Transavia;17.7 x 15.7 x 9.8;22
TUIfly;21.6 x 15.7 x 7.8;13.2
Turkish Airlines;21.6 x 15.7 x 9;17.6
Ukraine International Airlines;21.6 x 15.7 x 7.8;15.4
United Airlines;22 x 14 x 9
UTair;21.6 x 15.7 x 7.8;22
Vanilla Air;21.6 x 15.7 x 9.8;15.4
Vietnam Airlines;22 x 14 x 9;26
Virgin Atlantic Airways;22 x 14 x 9;22
Virgin Australia;18.9 x 13.3 x 9;15.4
VivaAerobus;21.6 x 15.7 x 7.8;22
Volaris;22.4 x 15.7 x 12.9;22
Vueling;21.6 x 15.7 x 7.8;22
WestJet;21 x 15 x 9
Wizz Air;15.7 x 11.8 x 7.8;22
Xiamen Airlines;21.6 x 15.7 x 7.8;11
XL Airways France;21.7 x 13.8 x 9.8;22;
